Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords
superteacherworksheets.com,0.29342356,14461,170278,392215,355055.00,0
ereadingworksheets.com,0.25947425,7296,46824,132935,81322.00,0
k5learning.com,0.23735109,8863,90892,631415,515922.00,0
easyteacherworksheets.com,0.23248237,6200,49180,73902,34642.00,0
education.com,0.21267605,18955,449479,1534402,1517486.00,1604
englishworksheetsland.com,0.20525548,5690,25874,26153,9440.00,0
englishlinx.com,0.19497491,6768,19319,29735,10846.00,0
teach-nology.com,0.19434361,7049,122770,145564,133438.00,0
havefunteaching.com,0.1771418,4927,43977,38019,10006.00,0
englishforeveryone.org,0.16758582,4241,35649,45740,29012.00,0
biglearners.com,0.13599189,3217,27274,14667,5161.00,0
tlsbooks.com,0.13571471,3909,41981,41010,20728.00,0
readworks.org,0.12570727,3060,37810,490011,491089.00,146
edhelper.com,0.12264537,4596,118637,109825,97131.00,924
busyteacher.org,0.11571678,3974,123195,67118,31772.00,0
grammar-monster.com,0.11455823,4923,101864,1017303,522299.00,0
helpteaching.com,0.11437291,3146,71629,47844,21057.00,2
sightwordsgame.com,0.112647794,3070,39929,99913,23595.00,0
allkidsnetwork.com,0.0947458,2840,41601,84689,23071.00,0
chompchomp.com,0.09360732,2868,44942,439407,448770.00,0
english-grammar-revolution.com,0.091383666,3076,52023,460905,272348.00,0
islcollective.com,0.09071,3060,123439,60765,19173.00,0
2ndgradeworksheets.net,0.08968515,2039,17229,28097,24681.00,0
teachervision.com,0.08932186,4187,171229,176608,95192.00,82
gingersoftware.com,0.08878032,3931,123057,1990014,1495951.00,0
englishgrammar.org,0.088185444,2799,67577,121975,52434.00,0
literarydevices.net,0.079497874,3841,139581,2797000,1412890.00,0
turtlediary.com,0.078490876,2347,67771,125782,157166.00,0
teacherspayteachers.com,0.07740261,23647,1579350,3179689,969536.00,868
spelling-words-well.com,0.07635738,1863,14249,44537,31892.00,0
kidzone.ws,0.07448861,3214,121660,522334,350009.00,0
jumpstart.com,0.07402414,1983,38282,44876,48559.00,0
readingrockets.org,0.07277918,3111,174776,344667,363848.00,0
softschools.com,0.06893653,7509,515112,1987617,1446531.00,0
flocabulary.com,0.06602684,2029,100550,466591,511738.00,0
lumoslearning.com,0.06479295,1525,53283,84594,142915.00,10
studenthandouts.com,0.064053796,1592,28152,36416,16070.00,0
literarydevices.com,0.0639464,2484,43103,457554,218719.00,0
thisreadingmama.com,0.060509104,1794,51642,52878,25961.00,0
worksheetplace.com,0.05950766,1402,18952,17541,7683.00,0
internet4classrooms.com,0.05878103,1417,40944,18921,29700.00,0
worksheetsplus.com,0.0584654,1612,11486,5784,3785.00,0
writingexplained.org,0.058240086,3854,226715,2105013,1154801.00,0
abcteach.com,0.055316593,1339,40870,19841,18468.00,0
englishclub.com,0.055205796,3116,223690,773646,479278.00,0
grammarly.com,0.054136325,3991,317315,8398126,8997948.00,13866
readingvine.com,0.05285857,1481,8165,6203,5620.00,0
sadlier.com,0.05272776,1266,42238,58405,59535.00,0
spellingcity.com,0.052187826,3711,320453,617833,227269.00,13
englishsentences.com,0.052112505,1464,15568,38447,7380.00,0
time4learning.com,0.051659953,1577,73000,249719,716702.00,922
mathworksheets4kids.com,0.051310502,1770,77606,107769,51233.00,0
agendaweb.org,0.051009625,1372,32462,45908,9944.00,0
betterlesson.com,0.05053641,2053,170446,85874,58703.00,7
first-school.ws,0.04933918,1472,34987,66574,36429.00,0
themeasuredmom.com,0.04928936,1640,81369,108837,54206.00,0
literaryterms.net,0.049186718,1878,42569,675187,326327.00,0
englishgrammar101.com,0.04883501,1207,20077,41428,69371.00,0
readwritethink.org,0.046956144,1828,111081,281292,236837.00,0
really-learn-english.com,0.04558255,1439,59364,58743,35427.00,0
mrnussbaum.com,0.044648193,1121,53357,86125,97739.00,0
kidskonnect.com,0.043776836,1854,161194,271608,160911.00,0
readinga-z.com,0.042461533,1221,78373,319170,293443.00,0
corestandards.org,0.04245028,1128,161701,356678,544740.00,0
grammarbank.com,0.042120587,1022,23959,16474,4692.00,0
worksheetworks.com,0.041682642,961,20341,48411,32170.00,0
dailygrammar.com,0.041449722,1112,18033,34996,37814.00,0
sightwords.com,0.041268334,1032,17830,120799,50137.00,0
towson.edu,0.040429365,1626,145300,593045,398000.00,0
time4writing.com,0.04031562,1110,26367,97232,63453.00,0
ixl.com,0.039498255,1961,231289,2214726,855943.00,1653
edubuzzkids.com,0.03856752,991,9956,8015,3057.00,0
journalbuddies.com,0.03729511,1048,18845,79105,102486.00,0
grammarbook.com,0.036636144,1512,80698,536102,551945.00,0
123homeschool4me.com,0.03617539,1076,44901,20627,15398.00,0
littleworksheets.com,0.0359769,1110,4533,4113,3219.00,0
primaryresources.co.uk,0.035844214,1083,74992,40046,9445.00,0
atozteacherstuff.com,0.03474148,1239,74310,87889,58832.00,0
educationworld.com,0.034000907,1539,207262,153959,141196.00,0
handwritingworksheets.com,0.033948213,843,4857,56699,31931.00,0
weareteachers.com,0.033543754,2316,328409,849258,1201452.00,0
7esl.com,0.03318099,1300,81582,544669,322534.00,0
